"username","id","datetime","type","text","has_referenced_tweet","referenced_tweet_found","referenced_tweet_id","referenced_tweet_text","referenced_tweet_datetime","referenced_tweet_author_id","referenced_tweet_author_name","referenced_tweet_author_username","own_text","cleaned_text"
"ZemmourEric","1510596933093634057","2022-04-03 12:35:49+00:00","normal","Emmanuel Macron dit qu’il est contre la légitime défense. Il faut lui expliquer qu’elle existe dans le droit français. Je veux que les Français puissent se défendre et que les voyous aient peur.
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/uiRg5EUOeb",False,False,"","","","","","","Emmanuel Macron dit qu’il est contre la légitime défense. Il faut lui expliquer qu’elle existe dans le droit français. Je veux que les Français puissent se défendre et que les voyous aient peur.
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/uiRg5EUOeb","emmanuel macron contre légitime défense faut expliquer existe droit français veux français puissent défendre voyous aient peur"
"ZemmourEric","1510596735667683332","2022-04-03 12:35:01+00:00","normal","Pour les policiers, j’irai plus loin que la Défense excusable avec la présomption de légitime défense. Emmanuel Macron est du côté des délinquants. Je suis du côté de la police et des victimes.
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/iyEc3XVTqy",False,False,"","","","","","","Pour les policiers, j’irai plus loin que la Défense excusable avec la présomption de légitime défense. Emmanuel Macron est du côté des délinquants. Je suis du côté de la police et des victimes.
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/iyEc3XVTqy","policiers irai loin défense excusable présomption légitime défense emmanuel macron côté délinquants côté police victimes"
"ZemmourEric","1510594427017912323","2022-04-03 12:25:51+00:00","normal","Mélenchon : la haine de la France et le mépris des Français.

#MelenchonToulouse #Presidentielles #JeVoteZemmour https://t.co/1tIo2N3XAG",False,False,"","","","","","","Mélenchon : la haine de la France et le mépris des Français.

#MelenchonToulouse #Presidentielles #JeVoteZemmour https://t.co/1tIo2N3XAG","mélenchon haine france mépris français presidentielles"
"ZemmourEric","1510593012237324292","2022-04-03 12:20:14+00:00","normal","La remigration, c’est l’expulsion des clandestins, des délinquants étrangers, des criminels binationaux déchus de la nationalité française. Il y aura un million d’expulsions en cinq ans. 
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/Hiqx4kT4ka",False,False,"","","","","","","La remigration, c’est l’expulsion des clandestins, des délinquants étrangers, des criminels binationaux déchus de la nationalité française. Il y aura un million d’expulsions en cinq ans. 
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/Hiqx4kT4ka","remigration expulsion clandestins délinquants étrangers criminels binationaux déchus nationalité française million expulsions ans"
"ZemmourEric","1510592271137361931","2022-04-03 12:17:17+00:00","normal","Les médias disent que je suis clivant. Les Français pensent que je suis rassembleur. Les deux tiers des Français sont favorables au ministère de la Remigration.
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/kzXalU7L80",False,False,"","","","","","","Les médias disent que je suis clivant. Les Français pensent que je suis rassembleur. Les deux tiers des Français sont favorables au ministère de la Remigration.
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/kzXalU7L80","médias disent clivant français pensent rassembleur tiers français favorables ministère remigration"
"ZemmourEric","1510587056333938693","2022-04-03 11:56:34+00:00","normal","Ça ne dérange pas M. Macron d’avoir donné des informations sur la santé des Français à des Américains. Quand ils ont des informations, les groupes américains les donnent à leur gouvernement.
#PourLesFrançaisOubliés #JeVoteZemmour #McKingseyGate 
https://t.co/xbLjaENpfJ",False,False,"","","","","","","Ça ne dérange pas M. Macron d’avoir donné des informations sur la santé des Français à des Américains. Quand ils ont des informations, les groupes américains les donnent à leur gouvernement.
#PourLesFrançaisOubliés #JeVoteZemmour #McKingseyGate 
https://t.co/xbLjaENpfJ","dérange m. macron donné informations santé français américains informations groupes américains donnent gouvernement"
"ZemmourEric","1510586883637747713","2022-04-03 11:55:53+00:00","normal","Les Français sont volés trois fois : on paie des groupes américains qui ne paient pas d’impôts en France pour faire le travail des hauts fonctionnaires français qui sont payés pour cela. 
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/f6c5ETWOAA",False,False,"","","","","","","Les Français sont volés trois fois : on paie des groupes américains qui ne paient pas d’impôts en France pour faire le travail des hauts fonctionnaires français qui sont payés pour cela. 
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/f6c5ETWOAA","français volés fois paie groupes américains paient impôts france faire travail hauts fonctionnaires français payés"
"ZemmourEric","1510585281216487431","2022-04-03 11:49:31+00:00","normal","Emmanuel Macron n’a pas agi dans l'intérêt de la France. Quand il cède tout aux Allemands dans les accords militaires, quand il vend Alstom aux Américains, il ne défend pas les intérêts de la France.
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/Zfw1FIN8Vj",False,False,"","","","","","","Emmanuel Macron n’a pas agi dans l'intérêt de la France. Quand il cède tout aux Allemands dans les accords militaires, quand il vend Alstom aux Américains, il ne défend pas les intérêts de la France.
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/Zfw1FIN8Vj","emmanuel macron agi intérêt france cède allemands accords militaires vend alstom américains défend intérêts france"
"ZemmourEric","1510583905233080325","2022-04-03 11:44:02+00:00","normal","Mes électeurs ne doivent pas être trompés par les sondages et se démotiver. Le vote utile, c’est le truc des politiciens. Moi, je suis le vote vital, vital pour que la France reste la France. 
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/ZS6R9ALLkW",False,False,"","","","","","","Mes électeurs ne doivent pas être trompés par les sondages et se démotiver. Le vote utile, c’est le truc des politiciens. Moi, je suis le vote vital, vital pour que la France reste la France. 
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/ZS6R9ALLkW","électeurs trompés sondages démotiver vote utile truc politiciens vote vital vital france france"
"ZemmourEric","1510583170743377921","2022-04-03 11:41:07+00:00","normal","Si les électeurs de droite veulent tout changer et se réconcilier après avoir été artificiellement séparés, ils doivent voter pour moi. Marine Le Pen n’a aucune chance sérieuse de gagner. 
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/T5bQ62LaY7",False,False,"","","","","","","Si les électeurs de droite veulent tout changer et se réconcilier après avoir été artificiellement séparés, ils doivent voter pour moi. Marine Le Pen n’a aucune chance sérieuse de gagner. 
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/T5bQ62LaY7","électeurs droite veulent changer réconcilier été artificiellement séparés voter marine pen aucune chance sérieuse gagner"
"ZemmourEric","1510582640751124492","2022-04-03 11:39:01+00:00","retweet","RT @BFMTV: 🔴 EN DIRECT
Zemmour: “Macron me cible parce qu’il sait que je suis son seul adversaire”
https://t.co/7kIosKHYo8 https://t.co/zt3…",True,True,"1510578093550981122","🔴 EN DIRECT
Zemmour: “Macron me cible parce qu’il sait que je suis son seul adversaire”
https://t.co/7kIosKHYo8 https://t.co/zt37JEto1m","2022-04-03 11:20:57+00:00","133663801","BFMTV","BFMTV","",""
"ZemmourEric","1510582250383020035","2022-04-03 11:37:28+00:00","normal","Emmanuel Macron et moi avons un désaccord clair : je respecte la civilisation française, je veux qu'elle domine dans notre pays. Pas lui.
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/5Mjlol39sT",False,False,"","","","","","","Emmanuel Macron et moi avons un désaccord clair : je respecte la civilisation française, je veux qu'elle domine dans notre pays. Pas lui.
#PourLesFrançaisOubliés #JeVoteZemmour
https://t.co/5Mjlol39sT","emmanuel macron désaccord clair respecte civilisation française veux domine pays"
