"username","id","datetime","type","text","has_referenced_tweet","referenced_tweet_found","referenced_tweet_id","referenced_tweet_text","referenced_tweet_datetime","referenced_tweet_author_id","referenced_tweet_author_name","referenced_tweet_author_username","own_text","cleaned_text"
"avecvous","1512386968503652356","2022-04-08 11:08:46+00:00","reply","Pour les aidants. https://t.co/8acLpXjCuE",True,True,"1512386959204884480","https://t.co/fGCvfigtWj","2022-04-08 11:08:44+00:00","1463777982246445057","Emmanuel Macron avec vous","avecvous","Pour les aidants. https://t.co/8acLpXjCuE","aidants"
"avecvous","1512386959204884480","2022-04-08 11:08:44+00:00","reply","https://t.co/fGCvfigtWj",True,True,"1512386950241660940","Pour permettre à chacun de mieux vieillir chez soi. https://t.co/eBP0JK7zBp","2022-04-08 11:08:42+00:00","1463777982246445057","Emmanuel Macron avec vous","avecvous","https://t.co/fGCvfigtWj",""
"avecvous","1512386950241660940","2022-04-08 11:08:42+00:00","reply","Pour permettre à chacun de mieux vieillir chez soi. https://t.co/eBP0JK7zBp",True,True,"1512386939445555206","J-2. Dimanche, votez pour nos aînés et les aidants, votez pour Emmanuel Macron. https://t.co/4ZMEomJcxh","2022-04-08 11:08:39+00:00","1463777982246445057","Emmanuel Macron avec vous","avecvous","Pour permettre à chacun de mieux vieillir chez soi. https://t.co/eBP0JK7zBp","permettre mieux vieillir"
"avecvous","1512386939445555206","2022-04-08 11:08:39+00:00","normal","J-2. Dimanche, votez pour nos aînés et les aidants, votez pour Emmanuel Macron. https://t.co/4ZMEomJcxh",False,False,"","","","","","","J-2. Dimanche, votez pour nos aînés et les aidants, votez pour Emmanuel Macron. https://t.co/4ZMEomJcxh","j-2 dimanche votez aînés aidants votez emmanuel macron"
"avecvous","1512379394333028352","2022-04-08 10:38:40+00:00","retweet","RT @BrunoLeMaire: Dès le premier tour, je vote @EmmanuelMacron. https://t.co/iixJkTzt3S",True,True,"1512378344754630664","Dès le premier tour, je vote @EmmanuelMacron. https://t.co/iixJkTzt3S","2022-04-08 10:34:30+00:00","374184532","Bruno Le Maire","BrunoLeMaire","",""
"avecvous","1512353028770254850","2022-04-08 08:53:54+00:00","normal","École, citoyenneté, université, santé, emploi... Les réponses d'Emmanuel Macron aux 💯 questions sur la jeunesse.

➜ https://t.co/lPlWqWVlNm https://t.co/qjMY5gmeYv",False,False,"","","","","","","École, citoyenneté, université, santé, emploi... Les réponses d'Emmanuel Macron aux 💯 questions sur la jeunesse.

➜ https://t.co/lPlWqWVlNm https://t.co/qjMY5gmeYv","école citoyenneté université santé emploi réponses emmanuel macron questions jeunesse"
"avecvous","1512316825903718407","2022-04-08 06:30:03+00:00","normal","Sortir de notre dépendance aux énergies fossiles est une priorité commencée dans ce quinquennat et que je souhaite poursuivre. #MacronRTL https://t.co/LMnNcwPV8x",False,False,"","","","","","","Sortir de notre dépendance aux énergies fossiles est une priorité commencée dans ce quinquennat et que je souhaite poursuivre. #MacronRTL https://t.co/LMnNcwPV8x","sortir dépendance énergies fossiles priorité commencée quinquennat souhaite poursuivre"
"avecvous","1512314797001519108","2022-04-08 06:21:59+00:00","normal","Mon objectif pour notre école et nos enseignants : mieux former, mieux orienter et mieux rémunérer. #MacronRTL https://t.co/fvkzvk4QIv",False,False,"","","","","","","Mon objectif pour notre école et nos enseignants : mieux former, mieux orienter et mieux rémunérer. #MacronRTL https://t.co/fvkzvk4QIv","objectif école enseignants mieux former mieux orienter mieux rémunérer"
"avecvous","1512311962608230406","2022-04-08 06:10:43+00:00","normal","Je cherche à être juste et efficace pour le pays. #MacronRTL https://t.co/j1VDEDeQH4",False,False,"","","","","","","Je cherche à être juste et efficace pour le pays. #MacronRTL https://t.co/j1VDEDeQH4","cherche efficace pays"
"avecvous","1512152414866092033","2022-04-07 19:36:44+00:00","normal","Pensez à la procuration si vous êtes absent ce dimanche. 
➜ https://t.co/56mrgxCoYt https://t.co/UNr5I83wkl",False,False,"","","","","","","Pensez à la procuration si vous êtes absent ce dimanche. 
➜ https://t.co/56mrgxCoYt https://t.co/UNr5I83wkl","pensez procuration êtes absent dimanche"
"avecvous","1512132555017003015","2022-04-07 18:17:49+00:00","normal","À demain. #MacronRTL https://t.co/OjTAkaqujm",False,False,"","","","","","","À demain. #MacronRTL https://t.co/OjTAkaqujm","demain"
"avecvous","1512112937581826050","2022-04-07 16:59:52+00:00","normal","Demain, 18h. #LeCandidat sur YouTube. 
➜ https://t.co/EyzD0XMaQK https://t.co/JpluxzAdD3",False,False,"","","","","","","Demain, 18h. #LeCandidat sur YouTube. 
➜ https://t.co/EyzD0XMaQK https://t.co/JpluxzAdD3","demain 18h youtube"
